title,description,year,image,slug,views
"Audi 80 1.9 TDI","Kuriasi, vaziuoja",1990,https://autoplius-img.dgn.lt/ann_3_211396638/audi-80-1-9-l-sedanas-1993-dyzelinas-3.jpg,audi-80-1.9-tdi,27
"Opel Kadett 1.2 l kupe (coupe)","AprasymasVauhxall chevette L
Opel kadett
1.2 benz, originalus , H istorinis, viskas veikia
Tech apziura iki 2024m.
P:S: Kiti nr, be 88888
Kaunas 3999",1976,https://autoplius-img.dgn.lt/ann_3_168426879/opel-kadett-1-2-l-kupe-coupe-1976-benzinas-0.jpg,opel-kadett-1.2-l-kupe-(coupe),30
"Ford Sierra 1.8 l","Automobilis buvo naudojamas garbaus amžiaus žmogaus tad nebuvo laužomas, sutvarkyta važiuoklė, pakeisti žvaklaidžiai, babinos. Praėjo T.A savo eiga. 3 savininkai nuo naujos. Salonas išlaikytas, kėbulas turintis paviršutinių rūdelių. Dugnas visad buvo dengtas antikorozine danga. Plačiau telefonu. Dadedu 6/8 ratus su padangom vasara.",1988,https://autoplius-img.dgn.lt/ann_3_201421464/ford-sierra-1-8-l-hecbekas-1988-benzinas-2.jpg,ford-sierra-1.8-l,2
"Honda Civic 1.5 l","Užsiveda ir važiuoja gerai, trauka gera, automatinė dėžė dirba gerai. Viskas originalu, salonas gerai išsilaikęs.

Elektrinis stoglangis, R15 lieti ratlankiai, stiklai be įtrūkimų. Keistas duslintuvas, granata, generatorius.

Automobiliui 30 metu, todel jau gali būti suteiktas istorinio automobilio statusas.

Kol kas parduodamas be techninės apziuros,
kebulo trukumai, parudijes, važiuoklėje priekyje kažkas bilda, bagazine neuzsidaro.

Gal sudomintų keitimas į brangesnį automobilį su mūsų priemoka.",1991,https://autoplius-img.dgn.lt/ann_3_205921790/honda-civic-1-5-l-hecbekas-1991-benzinas-0.jpg,honda-civic-1.5-l,1
Audi,"Kuriasi vaziuoja, be TA",1991,https://mediaservice.audi.com/media/live/50900/fly1400x601n1/gba/2021.png,audi,0
"Audi 80","Kuriasi vaziuoja, be TA",1992,https://mediaservice.audi.com/media/live/50900/fly1400x601n1/gba/2021.png,audi-80,0
"Audi 100","Kuriasi vaziuoja, be TA",1993,https://mediaservice.audi.com/media/live/50900/fly1400x601n1/gba/2021.png,audi-100,0
"Audi A4","Kuriasi vaziuoja, be TA",1994,https://mediaservice.audi.com/media/live/50900/fly1400x601n1/gba/2021.png,audi-a4,0
"Audi A3","Kuriasi vaziuoja, be TA",1995,https://mediaservice.audi.com/media/live/50900/fly1400x601n1/gba/2021.png,audi-a3,0
"Audi C4","Kuriasi vaziuoja, be TA",1996,https://mediaservice.audi.com/media/live/50900/fly1400x601n1/gba/2021.png,audi-c4,0
"Audi A6","Kuriasi vaziuoja, be TA",1997,https://mediaservice.audi.com/media/live/50900/fly1400x601n1/gba/2021.png,audi-a6,0
Audi,"Kuriasi vaziuoja, be TA",1991,https://mediaservice.audi.com/media/live/50900/fly1400x601n1/gba/2021.png,audi50,0
"Audi 80","Kuriasi vaziuoja, be TA",1992,https://mediaservice.audi.com/media/live/50900/fly1400x601n1/gba/2021.png,audi-8091,0
"Audi 100","Kuriasi vaziuoja, be TA",1993,https://mediaservice.audi.com/media/live/50900/fly1400x601n1/gba/2021.png,audi-10041,0
"Audi A4","Kuriasi vaziuoja, be TA",1994,https://mediaservice.audi.com/media/live/50900/fly1400x601n1/gba/2021.png,audi-a448,0
"Audi A3","Kuriasi vaziuoja, be TA",1995,https://mediaservice.audi.com/media/live/50900/fly1400x601n1/gba/2021.png,audi-a320,0
"Audi C4","Kuriasi vaziuoja, be TA",1996,https://mediaservice.audi.com/media/live/50900/fly1400x601n1/gba/2021.png,audi-c453,0
"Audi A6","Kuriasi vaziuoja, be TA",1997,https://mediaservice.audi.com/media/live/50900/fly1400x601n1/gba/2021.png,audi-a65,0
